session_id,entity_id,entity_type,timestamp,label,blended_score,if_score,lstm_ae_score,predicted_attack_type,classifier_confidence,entity_type_code,hour_of_day,day_of_week,is_weekend,is_off_hours,geo_velocity_kmh,impossible_travel_flag,is_new_device,is_spoofed_device,is_new_resource,failed_auth_rate_10,failed_auth_rate_50,resource_diversity_10,resource_diversity_50,session_duration_zscore,cmd_seq_length,cmd_rarity_score,auth_method_code,explanation
SES_0000055,DEV_0108,edge_device,2026-01-01 07:07:56,normal,0.3917423064579627,0.7829855116184612,0.0004991013,lateral_movement,0.3611,2,7,3,0,0,0.0,0,1,0,1,0.0,0.0,1,1,0.0,7,0.9815232210373974,5,Flagged due to rare command sequence (rarity=0.98) + command sequence length + spoofed device
SES_0000056,DEV_0108,edge_device,2026-01-01 07:09:00,normal,0.3666386953868555,0.73212633346424,0.0011510573,lateral_movement,0.5755,2,7,3,0,0,0.0,0,0,0,1,0.0,0.0,2,2,-116.57000000000016,4,0.98162684671706,5,Flagged due to rare command sequence (rarity=0.98) + new device fingerprint + geo-velocity (0 km/h)
SES_0003406,DEV_0108,edge_device,2026-01-04 20:28:37,normal,0.3742977604766976,0.7484247493387469,0.00017077161,impossible_travel,0.5329,2,20,6,1,0,2454.353684921499,1,0,0,0,0.1,0.0571428571428571,5,7,1.1461923495825106,8,0.9815185460005034,5,Flagged due to geo-velocity (2454 km/h) + impossible travel detected + rare command sequence (rarity=0.98)
SES_0044697,DEV_0108,edge_device,2026-02-22 01:00:00,edge_case,0.4098005963854922,0.8185783494762074,0.0010228433,lateral_movement,0.9009,2,1,6,1,1,0.0,0,0,0,1,0.1,0.02,6,9,-4.588234923081765,6,0.9814836511118632,5,Flagged due to rare command sequence (rarity=0.98) + new device fingerprint + command sequence length
SES_0047862,DEV_0108,edge_device,2026-02-25 17:20:26,normal,0.3916328375213999,0.7814893286880544,0.0017763464,impossible_travel,0.5195,2,17,2,0,0,12183.313710924293,1,0,0,0,0.0,0.02,5,8,1.2437803512793897,6,0.9814583387574092,5,Flagged due to geo-velocity (12183 km/h) + impossible travel detected + rare command sequence (rarity=0.98)
SES_0067148,DEV_0108,edge_device,2026-03-19 19:51:39,normal,0.3991691572225833,0.7973898947671416,0.0009484197,impossible_travel,0.4885,2,19,3,0,0,14573.377845590354,1,0,0,0,0.0,0.04,6,7,-1.2212944513789623,7,0.9814812748500166,5,Flagged due to geo-velocity (14573 km/h) + impossible travel detected + rare command sequence (rarity=0.98)
SES_0070921,DEV_0108,edge_device,2026-03-24 07:27:13,normal,0.3900971887493109,0.7796876799267853,0.0005066976,impossible_travel,0.6368,2,7,1,0,0,9988.815948632557,1,0,0,0,0.0,0.06,5,7,0.3994080693746285,3,0.9814255532316404,5,Flagged due to geo-velocity (9989 km/h) + impossible travel detected + rare command sequence (rarity=0.98)
SES_0073602,DEV_0108,edge_device,2026-03-27 07:37:21,normal,0.3844124726475054,0.7685278512691288,0.00029709403,impossible_travel,0.5248,2,7,4,0,0,1070.5761243805682,1,1,0,0,0.0,0.02,5,7,0.6955501881814868,5,0.9814745386642598,5,Flagged due to geo-velocity (1071 km/h) + impossible travel detected + rare command sequence (rarity=0.98)
SES_0075970,DEV_0108,edge_device,2026-03-29 19:13:15,normal,0.4167012202390724,0.8332260141493099,0.00017642633,impossible_travel,0.4342,2,19,6,1,0,17888.783579508312,1,0,0,0,0.0,0.0,6,7,0.5352513843033421,4,0.9815512712587616,5,Flagged due to geo-velocity (17889 km/h) + impossible travel detected + rare command sequence (rarity=0.98)
SES_0000097,DEV_0109,edge_device,2026-01-01 07:41:01,normal,0.3673814749711905,0.7334292110323467,0.0013337389,device_spoofing,0.4282,2,7,3,0,0,0.0,0,1,0,1,0.0,0.0,1,1,0.0,9,0.9814846957487138,0,Flagged due to new device fingerprint + command sequence length + rare command sequence (rarity=0.98)
SES_0003078,DEV_0109,edge_device,2026-01-04 14:15:10,normal,0.3669113582588253,0.7335896014422617,0.00023311508,impossible_travel,0.5395,2,14,6,1,0,4199.443607024665,1,0,0,0,0.0,0.0909090909090909,6,6,0.1414648522719446,8,0.9815637466334568,0,Flagged due to geo-velocity (4199 km/h) + impossible travel detected + rare command sequence (rarity=0.98)
SES_0003308,DEV_0109,edge_device,2026-01-04 18:31:35,normal,0.3731643571805797,0.7444754751042708,0.0018532393,impossible_travel,0.5075,2,18,6,1,0,3750.921616768719,1,0,0,0,0.0,0.08,7,7,-0.4920438634537479,11,0.9815359194801512,0,Flagged due to geo-velocity (3751 km/h) + impossible travel detected + rare command sequence (rarity=0.98)
SES_0017705,DEV_0109,edge_device,2026-01-21 07:56:14,normal,0.4068693700968575,0.8130035779602469,0.00073516223,impossible_travel,0.6355,2,7,2,0,0,1185.400505026736,1,0,0,1,0.1,0.04,6,7,1.3750333195748856,12,0.98149329391356,0,Flagged due to geo-velocity (1185 km/h) + impossible travel detected + rare command sequence (rarity=0.98)
SES_0023186,DEV_0109,edge_device,2026-01-27 14:52:34,normal,0.4399944771122098,0.8750384452834548,0.004950509,impossible_travel,0.5196,2,14,1,0,0,8715.500195030365,1,0,0,1,0.0,0.0,5,7,0.6198756178285146,15,0.9814779136448536,0,Flagged due to geo-velocity (8716 km/h) + impossible travel detected + rare command sequence (rarity=0.98)
SES_0038915,DEV_0109,edge_device,2026-02-15 08:00:00,impossible_travel,0.4377355400550906,0.8748652752062828,0.0006058049,impossible_travel,0.9683,2,8,6,1,0,56095.90775079455,1,0,0,0,0.0,0.02,4,6,-3.6844261133790632,5,0.9814253603756063,0,Flagged due to geo-velocity (56096 km/h) + rare command sequence (rarity=0.98) + command sequence length
SES_0038929,DEV_0109,edge_device,2026-02-15 08:12:23,normal,0.3823175436902302,0.7611772289204365,0.0034578585,impossible_travel,0.8309,2,8,6,1,0,65382.30970684802,1,0,0,0,0.0,0.02,4,6,-0.136448573010577,9,0.9815221419619694,0,Flagged due to geo-velocity (65382 km/h) + rare command sequence (rarity=0.98) + impossible travel detected
SES_0038957,DEV_0109,edge_device,2026-02-15 08:59:21,impossible_travel,0.3632390043526408,0.725368339953103,0.0011096688,impossible_travel,0.9534,2,8,6,1,0,12064.323590027465,1,0,0,0,0.0,0.02,4,6,0.6687367511220341,5,0.9815349990308984,0,Flagged due to geo-velocity (12064 km/h) + rare command sequence (rarity=0.98) + command sequence length
SES_0055601,DEV_0109,edge_device,2026-03-06 16:25:18,normal,0.3671351356046729,0.7330642538771943,0.0012060173,impossible_travel,0.6356,2,16,4,0,0,24025.321810881585,1,0,0,0,0.1,0.04,4,5,1.3474635836048563,8,0.9815539832967388,0,Flagged due to geo-velocity (24025 km/h) + rare command sequence (rarity=0.98) + impossible travel detected
SES_0076277,DEV_0109,edge_device,2026-03-30 08:43:17,normal,0.3642415629654064,0.7273400405097498,0.0011430854,impossible_travel,0.7481,2,8,0,0,0,10114.267867751088,1,0,0,0,0.1,0.02,5,5,0.8010229863897249,11,0.9815472278566866,0,Flagged due to geo-velocity (10114 km/h) + impossible travel detected + rare command sequence (rarity=0.98)
SES_0000130,DEV_0110,edge_device,2026-01-01 08:22:52,normal,0.3626063326751442,0.7232974086246642,0.0019152567,device_spoofing,0.4315,2,8,3,0,0,0.0,0,1,0,1,0.0,0.0,1,1,0.0,12,0.9814595441076214,1,Flagged due to new device fingerprint + command sequence length + rare command sequence (rarity=0.98)
SES_0000165,DEV_0110,edge_device,2026-01-01 08:51:28,normal,0.3648164593799177,0.4941075193133479,0.2355254,lateral_movement,0.6666,2,8,3,0,0,0.0,0,0,0,1,0.0,0.0,3,3,-0.2499466112545404,21,0.9815002160676352,1,Flagged due to rare command sequence (rarity=0.98) + new device fingerprint + command sequence length
SES_0000848,DEV_0110,edge_device,2026-01-01 20:56:43,normal,0.3772156081118989,0.4276736957865572,0.32675752,device_spoofing,0.3728,2,20,3,0,0,0.0,0,1,0,0,0.0,0.0,4,4,-0.2766684376719175,17,0.981452042575125,1,Flagged due to new device fingerprint + command sequence length + rare command sequence (rarity=0.98)
SES_0005430,DEV_0110,edge_device,2026-01-07 08:29:29,normal,0.3585424594181077,0.2224004014526399,0.49468452,lateral_movement,0.5773,2,8,2,0,0,0.0,0,0,0,0,0.0,0.0,3,4,0.6530444860488462,21,0.9815374097313226,1,Flagged due to rare command sequence (rarity=0.98) + new device fingerprint + command sequence length
SES_0013380,DEV_0110,edge_device,2026-01-16 09:53:14,normal,0.4078763752632927,0.7656454241680286,0.050107326,impossible_travel,0.634,2,9,4,0,0,24402.9854241042,1,0,0,0,0.1,0.04,4,5,1.0214546045307644,17,0.9814879478308546,1,Flagged due to geo-velocity (24403 km/h) + rare command sequence (rarity=0.98) + impossible travel detected
SES_0018775,DEV_0110,edge_device,2026-01-22 10:51:50,normal,0.3835062582849045,0.1225121417758027,0.6445004,lateral_movement,0.4988,2,10,3,0,0,0.0,0,0,0,0,0.0,0.04,4,7,0.9220468887561148,18,0.9815354811709832,1,Flagged due to rare command sequence (rarity=0.98) + new device fingerprint + command sequence length
SES_0020344,DEV_0110,edge_device,2026-01-24 09:08:46,normal,0.5709533363330048,0.7330107032751405,0.40889597,impossible_travel,0.5945,2,9,5,1,0,5162.541282251989,1,0,0,0,0.0,0.02,4,8,1.8848590399873983,18,0.9815361240244296,1,Flagged due to geo-velocity (5163 km/h) + impossible travel detected + rare command sequence (rarity=0.98)
SES_0023497,DEV_0110,edge_device,2026-01-27 20:32:26,normal,0.4060557817065334,0.6469126710581016,0.16519889,impossible_travel,0.6093,2,20,1,0,0,1983.1767210168737,1,0,0,0,0.0,0.02,3,5,-0.663463763164145,17,0.981439620377645,1,Flagged due to geo-velocity (1983 km/h) + rare command sequence (rarity=0.98) + impossible travel detected
SES_0026861,DEV_0110,edge_device,2026-01-31 21:34:13,normal,0.3593773297744509,0.7168630154594192,0.0018916441,impossible_travel,0.5949,2,21,5,1,1,1037.3125274553008,1,0,0,0,0.1,0.08,4,5,0.6340252013680013,11,0.981568792667754,1,Flagged due to geo-velocity (1037 km/h) + rare command sequence (rarity=0.98) + impossible travel detected
SES_0032982,DEV_0110,edge_device,2026-02-08 09:34:28,normal,0.3633916326200512,0.4144439295600945,0.31233934,lateral_movement,0.4067,2,9,6,1,0,0.0,0,0,0,0,0.1,0.1,3,6,-0.6176275620930939,19,0.9815624048883524,1,Flagged due to rare command sequence (rarity=0.98) + new device fingerprint + command sequence length
SES_0033618,DEV_0110,edge_device,2026-02-08 21:53:47,normal,0.4544676157499349,0.5232298200656963,0.3857054,lateral_movement,0.4628,2,21,6,1,1,0.0,0,0,0,0,0.1,0.08,4,6,-1.7762519803622292,18,0.9815614363788836,1,Flagged due to rare command sequence (rarity=0.98) + command sequence length + new device fingerprint
SES_0036993,DEV_0110,edge_device,2026-02-12 21:04:12,normal,0.4016838118308132,0.4318170636640678,0.37155056,lateral_movement,0.5172,2,21,3,0,1,0.0,0,0,0,0,0.1,0.06,4,5,-2.050638851275868,20,0.9815314553012748,1,Flagged due to rare command sequence (rarity=0.98) + new device fingerprint + command sequence length
SES_0042983,DEV_0110,edge_device,2026-02-19 21:51:35,normal,0.5390647552490113,0.4186770125388857,0.6594525,lateral_movement,0.557,2,21,3,0,1,0.0,0,0,0,0,0.0,0.08,5,7,-0.7451245269285287,19,0.9815331719737348,1,Flagged due to rare command sequence (rarity=0.98) + new device fingerprint + command sequence length
SES_0044646,DEV_0110,edge_device,2026-02-21 21:11:38,normal,0.7267081299674167,0.4534162599348335,1.0,lateral_movement,0.521,2,21,5,1,1,0.0,0,0,0,0,0.0,0.02,5,8,-0.3709413457312321,18,0.9815212580384806,1,Flagged due to rare command sequence (rarity=0.98) + new device fingerprint + command sequence length
SES_0049857,DEV_0110,edge_device,2026-02-27 21:54:48,normal,0.4490421415370974,0.3812263609970158,0.5168579,lateral_movement,0.4943,2,21,4,0,1,0.0,0,0,0,0,0.0,0.08,4,5,-1.2834271053873847,20,0.981531166017224,1,Flagged due to rare command sequence (rarity=0.98) + command sequence length + new device fingerprint
SES_0050076,DEV_0110,edge_device,2026-02-28 09:56:59,normal,0.3742937869577507,0.7456056638991136,0.00298191,impossible_travel,0.6127,2,9,5,1,0,22504.85678214772,1,0,0,0,0.0,0.08,4,5,-1.4811992648559762,12,0.9814982358494296,1,Flagged due to geo-velocity (22505 km/h) + rare command sequence (rarity=0.98) + impossible travel detected
SES_0054388,DEV_0110,edge_device,2026-03-05 10:25:05,normal,0.401360518313942,0.5574464332610322,0.2452746,lateral_movement,0.6242,2,10,3,0,0,0.0,0,0,0,1,0.1,0.02,6,7,-1.298771820277028,18,0.9814689458392756,1,Flagged due to rare command sequence (rarity=0.98) + new device fingerprint + command sequence length
SES_0058473,DEV_0110,edge_device,2026-03-09 21:35:10,normal,0.4164493846149161,0.5600154434146315,0.27288333,lateral_movement,0.5946,2,21,0,0,1,0.0,0,0,0,0,0.2,0.06,5,8,-0.3968575361516517,18,0.9814707136862536,1,Flagged due to rare command sequence (rarity=0.98) + new device fingerprint + command sequence length
SES_0059555,DEV_0110,edge_device,2026-03-11 09:03:59,normal,0.397371395508209,0.7880995334468963,0.0066432576,impossible_travel,0.5309,2,9,2,0,0,7096.070475034782,1,0,0,0,0.2,0.06,5,8,1.7858038634571816,14,0.9815469836558643,1,Flagged due to geo-velocity (7096 km/h) + impossible travel detected + rare command sequence (rarity=0.98)
SES_0061035,DEV_0110,edge_device,2026-03-12 21:24:12,normal,0.6132375009981385,0.7403762058670502,0.4860988,impossible_travel,0.6069,2,21,3,0,1,3189.234620371823,1,0,0,0,0.0,0.04,4,7,0.9389300536000932,18,0.9814769011506757,1,Flagged due to geo-velocity (3189 km/h) + impossible travel detected + rare command sequence (rarity=0.98)
SES_0072669,DEV_0110,edge_device,2026-03-25 21:58:53,normal,0.3907792605945925,0.7533364203799685,0.0282221,impossible_travel,0.6153,2,21,2,0,1,6217.755257445096,1,0,0,0,0.0,0.02,4,5,-0.7907697851098547,16,0.9814588811650048,1,Flagged due to geo-velocity (6218 km/h) + rare command sequence (rarity=0.98) + impossible travel detected
SES_0073699,DEV_0110,edge_device,2026-03-27 09:05:37,normal,0.3840948926257043,0.7418117739204464,0.026378011,impossible_travel,0.6239,2,9,4,0,0,21658.97702542533,1,0,0,0,0.0,0.0,4,5,0.5353853012662886,16,0.98144794261183,1,Flagged due to geo-velocity (21659 km/h) + rare command sequence (rarity=0.98) + impossible travel detected
SES_0000310,DEV_0111,edge_device,2026-01-01 11:23:19,normal,0.4633739678662681,0.9255120631090256,0.0012358726,brute_force,0.3061,2,11,3,0,0,0.0,0,1,0,1,1.0,1.0,1,1,0.0,9,0.9814885528693924,0,Flagged due to high auth failure rate (100%) + failed auth rate (last 50) + new device fingerprint
SES_0000545,DEV_0111,edge_device,2026-01-01 15:28:55,normal,0.4270024344138944,0.8518562000803936,0.0021486687,lateral_movement,0.3582,2,15,3,0,0,0.0,0,0,0,1,0.5,0.5,2,2,-635.4200000000001,11,0.9814657023514324,0,Flagged due to rare command sequence (rarity=0.98) + new device fingerprint + command sequence length
SES_0004264,DEV_0111,edge_device,2026-01-05 19:51:34,normal,0.3832681286379559,0.7648257492571797,0.001710508,impossible_travel,0.6063,2,19,0,0,0,22185.4174542243,1,0,0,0,0.1,0.0526315789473684,4,5,-0.4226014446511821,7,0.9815664070135678,0,Flagged due to geo-velocity (22185 km/h) + impossible travel detected + rare command sequence (rarity=0.98)
